,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
72,72,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
73,73,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.7499999999999999
74,74,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.5,0.0,0.25
75,75,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
76,76,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,0.0,-2.7755575615628914e-17,0.0,0.3443609377704336,0.15563906222956636,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
77,77,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
78,78,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
79,79,0.04879494069539851,0.0,0.0,0.15563906222956647,0.3443609377704336,0.0,0.0,0.0,-2.7755575615628914e-17,0.15563906222956636,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
80,80,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0
81,81,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.25
82,82,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.5,2.7755575615628914e-17,0.25
83,83,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
84,84,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.25
85,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.5
87,87,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.25
88,88,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25
89,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.5
90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,91,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25
92,92,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
93,93,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.25
94,94,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.5,2.7755575615628914e-17,0.25
95,95,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0
96,96,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
97,97,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.75
98,98,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.5
100,100,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
101,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.5
102,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,103,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
104,104,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
105,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
